Project Name,Field Number,Stream depth (m),Year
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-004A,0.78,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-004A,1.3,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-004A,1.58,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-005A,0.9,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-005A,0.8,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-110919-005A,1,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-001A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-001A,0.3,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-001A,1.01,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-002A,0.81,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-002A,0.76,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-002A,0.72,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-003A,0.76,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-003A,0.83,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-003A,0.84,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-004A,0.83,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-004A,0.83,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-004A,0.55,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-005A,0.49,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-005A,0.74,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-005A,0.75,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-006A,0.86,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-006A,0.87,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-006A,0.9,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-007A,0.35,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-007A,0.34,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-007A,0.65,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-008A,1.66,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-008A,1.55,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-008A,1.41,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-009A,0.52,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-009A,1.25,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-009A,1.29,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-010A,0.99,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-010A,1.62,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-160919-010A,1.85,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-001A,0.53,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-001A,1.51,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-001A,1.62,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-002A,0.47,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-002A,0.61,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-002A,1.07,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-003A,0.72,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-003A,2.2,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-003A,1.38,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-004A,0.78,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-004A,0.84,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-004A,0.99,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-005A,0.74,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-005A,0.74,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-005A,0.8,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-006A,0.57,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-006A,0.82,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-006A,0.68,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-007A,0.49,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-007A,0.96,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-007A,0.78,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-008A,0.38,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-008A,0.41,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-008A,0.57,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-009A,0.71,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-009A,0.69,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-009A,0.75,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-010A,0.58,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-010A,0.61,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-170919-010A,0.68,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-001A,0.47,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-001A,0.53,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-001A,0.62,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-002A,0.47,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-002A,0.5,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-002A,0.57,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-003A,0.71,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-003A,0.6,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-003A,0.6,2019
2019 St. Clair NWA Drawdown - Community Assessment,2019-NWA-LCS-180919-004A,0.29,2019
