Project Name,Field Number,Bin Number,Number Captured,Species,Minimum (mm),Maximum (mm),Year
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,1,1,Pomoxis nigromaculatus,51,51,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,1,1,Amia ocellicauda,536,536,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-004A,1,2,Erimyzon sucetta,52,60,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,11,Notemigonus crysoleucas,49,56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,7,Lepomis gibbosus,31,42,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,4,Lepomis macrochirus,32,38,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,1,Pomoxis nigromaculatus,194,194,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,2,Micropterus nigricans,55,64,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,3,Amia ocellicauda,415,471,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,1,Carassius auratus X Cyprinus carpio,507,507,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,1,Ameiurus nebulosus,291,291,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-005A,1,1,Lepomis sp,37,37,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-140823-006A,1,2,Pomoxis nigromaculatus,54,61,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,1,1,Micropterus nigricans,77,77,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,1,1,Lepomis gibbosus,71,71,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-001A,1,1,Umbra limi,42,42,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,1,2,Amia ocellicauda,469,482,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,1,9,Lepomis gibbosus,31,68,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,1,12,Lepomis sp,29,36,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,1,3,Notemigonus crysoleucas,47,56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-002A,1,1,Pomoxis nigromaculatus,59,59,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,5,Pomoxis nigromaculatus,61,147,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,2,Amia ocellicauda,394,419,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,36,Lepomis gibbosus,62,119,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,2,Lepomis sp,38,44,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,1,Notemigonus crysoleucas,79,79,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,1,Micropterus nigricans,66,66,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-003A,1,1,Cyprinus carpio,66,66,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,1,3,Lepomis gibbosus,81,114,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,1,2,Notemigonus crysoleucas,46,50,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,1,2,Micropterus nigricans,73,94,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,1,1,Umbra limi,89,89,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-005A,1,3,Carassius auratus,66,69,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,4,Pomoxis nigromaculatus,58,145,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,1,Amia ocellicauda,448,448,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,7,Lepomis gibbosus,69,137,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,1,Lepomis sp,30,30,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,2,Micropterus nigricans,72,73,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-150823-004A,1,5,Carassius auratus,54,140,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,2,Pomoxis nigromaculatus,149,190,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,3,Amia ocellicauda,379,536,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,40,Erimyzon sucetta,45,179,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,48,Lepomis gibbosus,37,188,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,31,Lepomis sp,29,49,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,43,Lepomis macrochirus,32,177,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,21,Notemigonus crysoleucas,45,62,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-210823-001A,1,9,Micropterus nigricans,54,76,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,1,1,Pomoxis nigromaculatus,247,247,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,1,4,Amia ocellicauda,430,525,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,1,8,Lepomis gibbosus,39,183,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,1,2,Lepomis sp,33,39,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-001A,1,2,Ameiurus nebulosus,274,296,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,5,Lepomis macrochirus,35,184,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,2,Amia ocellicauda,495,522,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,4,Erimyzon sucetta,58,70,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,17,Lepomis gibbosus,32,86,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,82,Lepomis sp,21,46,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-002A,1,1,Micropterus nigricans,56,56,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,11,2,Pomoxis nigromaculatus,147,195,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,11,5,Amia ocellicauda,405,559,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-003A,11,2,Lepomis gibbosus,70,76,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-004A,1,14,Lepomis gibbosus,36,84,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1,3,Lepomis macrochirus,86,181,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1,3,Amia ocellicauda,327,448,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1,6,Lepomis gibbosus,33,186,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1,3,Lepomis sp,31,45,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-005A,1,2,Micropterus nigricans,90,90,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,1,1,Pomoxis nigromaculatus,73,73,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,1,2,Lepomis gibbosus,97,140,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-220823-006A,1,1,Cyprinus carpio,533,533,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,12,Pomoxis nigromaculatus,190,280,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,3,Lepomis macrochirus,144,209,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,5,Amia ocellicauda,462,610,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,45,Lepomis gibbosus,140,187,2023
2023 Lake Chubsucker - St. Clair NWA,2023-LCS-NWA-240823-001A,1,1,Micropterus nigricans,318,318,2023
